name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing,big_club,age_cat
Manolo Gabbiadini,Southampton,25,CF,1,15.0,2012,38,2.0,Italy,0,14,0,0,3
Leighton Baines,Everton,32,LB,3,12.0,491,135,1.0,England,0,7,0,0,5
Phil Jagielka,Everton,34,CB,3,2.0,566,104,1.0,England,0,7,0,0,6
Matthew Lowton,Burnley,28,RB,3,2.5,121,90,1.0,England,0,4,0,0,4
Stefano Okaka,Watford,27,CF,1,6.0,708,43,2.0,Italy,0,18,1,0,3
Dan Gosling,Bournemouth,27,CM,2,3.0,184,49,1.0,England,0,2,0,0,3
Ben Hamer,Leicester+City,29,GK,4,0.5,132,0,1.0,England,0,9,0,0,4
James Ward-Prowse,Southampton,22,CM,2,15.0,416,92,1.0,England,0,14,0,0,2
Lewis Cook,Bournemouth,20,CM,2,6.0,243,17,1.0,England,0,2,0,0,1
Max Gradel,Bournemouth,29,LW,1,7.0,287,8,4.0,Cote d'Ivoire,0,2,0,0,4
Antonio Valencia,Manchester+United,31,RB,3,10.0,1561,120,3.0,Ecuador,0,12,0,1,4
Andre Ayew,West+Ham,27,LW,1,18.0,845,89,4.0,Ghana,0,20,1,0,3
Matthew Taylor,Burnley,35,LM,2,0.25,255,0,1.0,England,0,4,0,0,6
Marko Grujic,Liverpool,21,CM,2,5.0,615,4,2.0,Serbia,0,10,0,1,1
Marc Muniesa,Stoke+City,25,CB,3,3.0,172,34,2.0,Spain,0,15,0,0,3
Phil Jones,Manchester+United,25,CB,3,14.0,808,55,1.0,England,0,12,0,1,3
Cesar Azpilicueta,Chelsea,27,RB,3,30.0,869,170,2.0,Spain,0,5,0,1,3
Harry Winks,Tottenham,21,CM,2,4.0,806,30,1.0,England,0,17,0,1,1
Pablo Zabaleta,West+Ham,32,RB,3,7.0,698,45,3.0,Argentina,0,20,0,0,5
Arthur Masuaku,West+Ham,23,LB,3,7.0,199,34,4.0,Congo DR,0,20,1,0,2
